antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"winter, casual",fall,0.05143085851510906,0.13087852711626977,0.044026415849509705,0.8560311284046693,6.540653744095004,1.0,0.03729522083872697,6.036870771111318,0.8930398925968546,0.3183791606367583,0.8343512660921327,0.5962112828567689
fall,"winter, casual",0.13087852711626977,0.05143085851510906,0.044026415849509705,0.3363914373088685,6.540653744095004,1.0,0.03729522083872697,1.4294106417767711,0.9746739790258094,0.3183791606367583,0.3004109730448135,0.5962112828567689
winter,fall,0.08244946968180908,0.13087852711626977,0.06704022413448069,0.8131067961165049,6.21268296665776,1.0,0.056249358981007976,4.65036424452074,0.9144335031494654,0.4582763337893297,0.7849630808644198,0.6626696060093228
fall,winter,0.13087852711626977,0.08244946968180908,0.06704022413448069,0.5122324159021406,6.212682966657759,1.0,0.056249358981007976,1.8811224038498333,0.9653874307944506,0.4582763337893297,0.46840248250010835,0.6626696060093228
"fall, casual",winter,0.09865919551731038,0.08244946968180908,0.044026415849509705,0.4462474645030426,5.4123751944701555,1.0,0.03589201749987355,1.6569685400984178,0.9044727918617795,0.3211678832116789,0.39648823993930293,0.4901140235136572
winter,"fall, casual",0.08244946968180908,0.09865919551731038,0.044026415849509705,0.5339805825242718,5.4123751944701555,1.0,0.03589201749987355,1.934127142952438,0.8884941013185289,0.3211678832116789,0.48297090827570743,0.4901140235136572
"cotton, regular","button, casual",0.08445067040224134,0.16850110066039622,0.04742845707424455,0.561611374407583,3.3329834179509414,1.0,0.033198426159958536,1.8967164082233128,0.7645339051439902,0.23076923076923078,0.4727730536497454,0.4215420292465469
"button, casual","cotton, regular",0.16850110066039622,0.08445067040224134,0.04742845707424455,0.28147268408551074,3.332983417950941,1.0,0.033198426159958536,1.2742025380517568,0.841815310718112,0.23076923076923078,0.2151954103552562,0.4215420292465469
button,"fall, regular",0.20812487492495496,0.05903542125275165,0.04062437462477486,0.1951923076923077,3.306359191655802,1.0,0.028337634960403896,1.1691794048950277,0.8808870231839565,0.1793286219081272,0.14469926872362004,0.4416639504563233
"fall, regular",button,0.05903542125275165,0.20812487492495496,0.04062437462477486,0.6881355932203389,3.3063591916558015,1.0,0.028337634960403896,2.5391648032297636,0.7413164506037678,0.1793286219081272,0.6061697142587903,0.4416639504563233
cotton,"button, regular, casual",0.1350810486291775,0.11386832099259556,0.04742845707424455,0.35111111111111115,3.0834836945909005,1.0,0.03204700486892095,1.365613888881274,0.7812194307604895,0.23535253227408143,0.2677285958044766,0.38381566100371023
"button, regular, casual",cotton,0.11386832099259556,0.1350810486291775,0.04742845707424455,0.4165202108963093,3.0834836945909005,1.0,0.03204700486892095,1.4823460341265,0.7625181526076864,0.23535253227408143,0.3253936820566538,0.38381566100371023
"button, all-season, casual",cotton,0.10926555933560136,0.1350810486291775,0.04382629577746648,0.4010989010989011,2.9693203093203095,1.0,0.029066589443359832,1.4441765977017404,0.7445794849856735,0.21856287425149704,0.30756390763332,0.36277167277167277
cotton,"button, all-season, casual",0.1350810486291775,0.10926555933560136,0.04382629577746648,0.3244444444444445,2.9693203093203095,1.0,0.029066589443359832,1.318521375983485,0.7668031669762222,0.21856287425149704,0.24157467735090743,0.36277167277167277
cotton,"button, casual",0.1350810486291775,0.16850110066039622,0.06603962377426456,0.48888888888888893,2.9013987859593566,1.0,0.043278318401887644,1.626845672620964,0.7576879390854402,0.27801179443976415,0.38531354459152295,0.4404064396938506
"button, casual",cotton,0.16850110066039622,0.1350810486291775,0.06603962377426456,0.3919239904988124,2.9013987859593566,1.0,0.043278318401887644,1.422386244246548,0.7881413412099333,0.27801179443976415,0.29695608063918677,0.4404064396938506
"cotton, casual","button, regular",0.12307384430658395,0.13327996798078848,0.04742845707424455,0.3853658536585366,2.891401157254816,1.0,0.031025179045790493,1.4101397346344315,0.745954393404549,0.22701149425287356,0.29085042039522224,0.37061085475719624
"button, regular","cotton, casual",0.13327996798078848,0.12307384430658395,0.04742845707424455,0.35585585585585583,2.8914011572548155,1.0,0.031025179045790493,1.361381864083485,0.7547384326711462,0.22701149425287356,0.26545223909441157,0.37061085475719624
button,"cotton, regular, casual",0.20812487492495496,0.08004802881729037,0.04742845707424455,0.2278846153846154,2.8468485576923084,1.0,0.0307684710886568,1.191469551718578,0.8192382457408705,0.1970074812967581,0.16070033131975706,0.41019230769230774
