antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
slip-on,leather,0.3927855711422846,0.050100200400801605,0.050100200400801605,0.12755102040816327,2.5459183673469385,1.0,0.03042156457202983,1.0887740393066834,0.9999999999999999,0.12755102040816327,0.08153577886850945,0.5637755102040817
leather,slip-on,0.050100200400801605,0.3927855711422846,0.050100200400801605,1.0,2.5459183673469385,1.0,0.03042156457202983,inf,0.6392405063291139,0.12755102040816327,1.0,0.5637755102040817
toile,"gomme, lacets",0.14829659318637275,0.23446893787575152,0.06813627254509018,0.45945945945945943,1.9595749595749594,1.0,0.03336532785008895,1.4162324649298597,0.574948096885813,0.2165605095541401,0.2939012310740059,0.375028875028875
"gomme, lacets",toile,0.23446893787575152,0.14829659318637275,0.06813627254509018,0.29059829059829057,1.9595749595749592,1.0,0.03336532785008895,1.200593959002342,0.6396673852787188,0.2165605095541401,0.16707893413775762,0.375028875028875
lacets,"cuir, caoutchouc",0.533066132264529,0.1062124248496994,0.09418837675350701,0.17669172932330826,1.6635693006100156,1.0,0.037570130240440806,1.0856049999542463,0.8542598849420144,0.17279411764705882,0.07885464783033817,0.5317420910767485
"cuir, caoutchouc",lacets,0.1062124248496994,0.533066132264529,0.09418837675350701,0.8867924528301887,1.6635693006100156,1.0,0.037570130240440806,4.124582498329994,0.44628375155042466,0.17279411764705882,0.7575512187221638,0.5317420910767485
"toile, lacets",gomme,0.10821643286573146,0.3927855711422846,0.06813627254509018,0.6296296296296297,1.6029856386999244,1.0,0.02563041915494315,1.639478957915832,0.42181097157964303,0.15740740740740738,0.3900501161227234,0.40154950869236583
gomme,"toile, lacets",0.3927855711422846,0.10821643286573146,0.06813627254509018,0.17346938775510204,1.6029856386999244,1.0,0.02563041915494315,1.0789480194957817,0.6194913609007958,0.15740740740740738,0.07317129098830544,0.40154950869236583
"toile, gomme",lacets,0.08216432865731463,0.533066132264529,0.06813627254509018,0.8292682926829268,1.5556574362736109,1.0,0.02433725165762387,2.7348983681649006,0.38916003082455697,0.12454212454212454,0.6343556997801737,0.4785439207775536
lacets,"toile, gomme",0.533066132264529,0.08216432865731463,0.06813627254509018,0.12781954887218044,1.5556574362736109,1.0,0.02433725165762387,1.0523460714532513,0.7649583438525626,0.12454212454212454,0.04974225957907869,0.4785439207775536
